Name=hsa-mir-548a-3;ID=MI0003612
Name=hsa-mir-548d-1;ID=MI0003668
Name=hsa-mir-30b;ID=MI0000441
Name=hsa-mir-30d;ID=MI0000255
Name=hsa-mir-151a;ID=MI0000809
Name=hsa-mir-101-2;ID=MI0000739
Name=hsa-mir-4474;ID=MI0016826
Name=hsa-mir-31;ID=MI0000089
Name=hsa-mir-876;ID=MI0005542
Name=hsa-mir-873;ID=MI0005564
Name=hsa-mir-7-1;ID=MI0000263
Name=hsa-let-7a-1;ID=MI0000060
Name=hsa-let-7f-1;ID=MI0000067
Name=hsa-let-7d;ID=MI0000065
Name=hsa-mir-23b;ID=MI0000439
Name=hsa-mir-27b;ID=MI0000440
Name=hsa-mir-3074;ID=MI0014181
Name=hsa-mir-24-1;ID=MI0000080
Name=hsa-mir-32;ID=MI0000090
Name=hsa-mir-455;ID=MI0003513
Name=hsa-mir-181a-2;ID=MI0000269
Name=hsa-mir-181b-2;ID=MI0000683
Name=hsa-mir-199b;ID=MI0000282
Name=hsa-mir-219b;ID=MI0017299
Name=hsa-mir-126;ID=MI0000471
Name=hsa-mir-651;ID=MI0003666
Name=hsa-mir-221;ID=MI0000298
Name=hsa-mir-222;ID=MI0000299
Name=hsa-mir-532;ID=MI0003205
Name=hsa-mir-188;ID=MI0000484
Name=hsa-mir-500a;ID=MI0003184
Name=hsa-mir-362;ID=MI0000762
Name=hsa-mir-501;ID=MI0003185
Name=hsa-mir-500b;ID=MI0015903
Name=hsa-mir-660;ID=MI0003684
Name=hsa-mir-502;ID=MI0003186
Name=hsa-mir-6857;ID=MI0022703
Name=hsa-mir-98;ID=MI0000100
Name=hsa-let-7f-2;ID=MI0000068
Name=hsa-mir-374b;ID=MI0005566
Name=hsa-mir-374c;ID=MI0016684
Name=hsa-mir-545;ID=MI0003516
Name=hsa-mir-374a;ID=MI0000782
Name=hsa-mir-361;ID=MI0000760
Name=hsa-mir-652;ID=MI0003667
Name=hsa-mir-1277;ID=MI0006419
Name=hsa-mir-92a-2;ID=MI0000094
Name=hsa-mir-19b-2;ID=MI0000075
Name=hsa-mir-20b;ID=MI0001519
Name=hsa-mir-18b;ID=MI0001518
Name=hsa-mir-106a;ID=MI0000113
Name=hsa-mir-450b;ID=MI0005531
Name=hsa-mir-450a-1;ID=MI0001652
Name=hsa-mir-450a-2;ID=MI0003187
Name=hsa-mir-542;ID=MI0003686
Name=hsa-mir-503;ID=MI0003188
Name=hsa-mir-424;ID=MI0001446
Name=hsa-mir-505;ID=MI0003190
Name=hsa-mir-892c;ID=MI0022560
Name=hsa-mir-224;ID=MI0000301
Name=hsa-mir-452;ID=MI0001733
Name=hsa-mir-105-1;ID=MI0000111
Name=hsa-mir-105-2;ID=MI0000112
Name=hsa-mir-664b;ID=MI0019134
Name=hsa-mir-107;ID=MI0000114
Name=hsa-mir-203a;ID=MI0000283
Name=hsa-mir-217;ID=MI0000293
Name=hsa-mir-320a;ID=MI0000542
Name=hsa-mir-449a;ID=MI0001648
Name=hsa-mir-484;ID=MI0002468
Name=hsa-mir-573;ID=MI0003580
Name=hsa-mir-641;ID=MI0003656
Name=hsa-mir-643;ID=MI0003658
Name=hsa-mir-421;ID=MI0003685
Name=hsa-mir-151b;ID=MI0003772
Name=hsa-mir-320b-1;ID=MI0003776
Name=hsa-mir-320c-1;ID=MI0003778
Name=hsa-mir-320b-2;ID=MI0003839
Name=hsa-mir-378d-2;ID=MI0003840
Name=hsa-mir-147b;ID=MI0005544
Name=hsa-mir-190b;ID=MI0005545
Name=hsa-mir-301b;ID=MI0005568
Name=hsa-mir-935;ID=MI0005757
Name=hsa-mir-940;ID=MI0005762
